"student","class"
"Christopher Alvarez","afrikaans-11"
"Jenna Brown","afrikaans-10"
"Larissa Sharshel","afrikaans-11"
"Jacob Harper","afrikaans-11"
"Ekom Ghoram","afrikaans-10"
"Keynan Cuthbert Jr","afrikaans-12"
"Uriah Domer","afrikaans-11"
"Jeremy Cepeda","afrikaans-11"
"Anthony Whitney","afrikaans-11"
"Alexander Jacket","afrikaans-11"
"Cu Chulainn Pham","afrikaans-12"
"Garrett Walton","afrikaans-11"
"Dennis Vasquez","afrikaans-12"
"Benjamin Valdez","afrikaans-11"
"Saalim el-Ghazi","afrikaans-11"
"Kei Maka Jr","afrikaans-10"
"Suthdara Bajwa","afrikaans-12"
"Rustin Holliday","afrikaans-11"
"Kaitlyn Quick Bear","afrikaans-11"
"Rachael Werner","afrikaans-10"
"Hayden Terry","afrikaans-12"
"Michael Soto","afrikaans-11"
"Paola Vivas","afrikaans-12"
"Oliver Ortiz","afrikaans-10"
"Tyler Lohrenz","afrikaans-10"
"Sidney Begay","afrikaans-12"
"Keaun Robinson","afrikaans-10"
"Cyrus Mondhink","afrikaans-10"
"Mawhiba el-Moghaddam","afrikaans-10"
"Tai Srinivasan","afrikaans-11"
"Christiana Whiteman","afrikaans-12"
"Tharwa al-Zadeh","afrikaans-12"
"River Hardin","afrikaans-10"
"Dominic Straker","afrikaans-11"
"Devon Balderrama","afrikaans-11"
"Kaelynn Hosan","afrikaans-11"
"Ashley Leslie","afrikaans-10"
"Amy Chommala","afrikaans-11"
"Whitney Brinkley","afrikaans-12"
"Radwa al-Safi","afrikaans-12"
"Angelica Myers","afrikaans-12"
"Casey Naujok","afrikaans-12"
"Brea Taylor","afrikaans-12"
"Laneece Huang","afrikaans-12"
"Vincent Pavlov","afrikaans-11"
"Magnus Ellis","afrikaans-12"
"Kaazima al-Majid","afrikaans-11"
"Jakoby Whitecalf","afrikaans-11"
"Shannon Logan","afrikaans-10"
"Elizabeth Hernandez","afrikaans-11"
"Grace Zarembski","afrikaans-10"
"Mali Badhesha","afrikaans-10"
"Shane Johnson","afrikaans-11"
"Clayton Patterson","afrikaans-12"
"Janel Salazar","afrikaans-10"
"Neftali Gutierrez","afrikaans-10"
"Mahboob el-Rehmann","afrikaans-12"
"Tyler Sarkeiyans","afrikaans-10"
"Marcus Dyer","afrikaans-10"
"Henry Salazar","afrikaans-10"
"Jenny Ardito","afrikaans-12"
"Kathy Prom","maths-lit-12"
"Tony Otgonbayar","english-12"
"Tony Otgonbayar","lo-12"
"Amanda Sober","english-12"
"Amanda Sober","maths-lit-12"
"Tyler Zumar","maths-lit-12"
"Senait Cooper","english-12"
"Senait Cooper","lo-12"
"Senait Cooper","math-12"
"Jake Brave","english-12"
"Jake Brave","afrikaans-12"
"Jake Brave","lo-12"
"Christopher Glover","math-12"
"Vincent Mondia","maths-lit-12"
"Katelyn Largo","isizulu-12"
"Katelyn Largo","maths-lit-12"
"Izzaddeen al-Mustafa","math-12"
"Josen Arguello","math-12"
"Romeo Martinez","math-12"
"Maricela Cruz","maths-lit-11"
"Hayden Killingsworth","math-10"
"Katelyn Chuong","isizulu-11"
"Tai Nguyen","math-12"
"Jazmine Young","maths-lit-11"
"Mawdood el-Karim","maths-lit-11"
"Jijo Kalagiri","maths-lit-11"
"Pazao Aslami","maths-lit-11"
"Katelyn Chuong","maths-lit-11"
"Malakye Sanchez","maths-lit-11"
"Sahar al-Hashem","maths-lit-10"
